,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600221,10.084,6.55,6.02,6.55,6.02,5.95,902076833,7.63691
1,000778,10.055,10.07,9.69,10.07,9.5,9.15,262545265,7.20864
2,600084,10.049,11.17,10.24,11.17,10.03,10.15,48901100,6.03777
3,600020,10.045,9.86,8.98,9.86,8.98,8.96,151953849,6.7614
4,601111,10.041,13.48,12.4,13.48,12.37,12.25,218415591,2.6222700000000003
5,600797,10.034,16.12,16.12,16.12,16.12,14.65,258887,0.03151
6,600769,10.027,16.46,14.94,16.46,14.6,14.96,21437742,5.71708
7,000006,10.023,18.88,17.34,18.88,17.34,17.16,100809953,7.52933
8,600662,10.022,20.42,18.75,20.42,18.71,18.56,74821012,7.10307
9,002319,10.022,20.2,20.2,20.2,20.2,18.36,102341,0.05122
10,603300,10.021,20.97,20.97,20.97,20.97,19.06,14200,0.028020000000000003
11,300149,10.021,26.13,23.74,26.13,23.41,23.75,32511851,11.63851
12,600679,10.02,21.85,19.8,21.85,19.41,19.86,5723786,3.1446
13,000719,10.019,29.32,29.32,29.32,29.32,26.65,85783,0.08054
14,002036,10.018,24.49,24.49,24.49,24.49,22.26,647561,0.25379
15,300110,10.018,12.41,12.41,12.41,12.41,11.28,459054,0.07013000000000001
16,601766,10.017,32.4,32.4,32.4,32.4,29.45,23813467,0.10391
17,603568,10.017,31.63,31.63,31.63,31.63,28.75,15600,0.03406
18,603669,10.017,32.84,32.84,32.84,32.84,29.85,21800,0.03354
19,000972,10.017,12.74,12.05,12.74,12.05,11.58,77910353,10.10139
20,000553,10.016,20.65,19.6,20.65,19.6,18.77,42898936,11.78886
21,002759,10.016,33.72,33.72,33.72,33.72,30.65,13600,0.056670000000000005
22,300466,10.015,28.78,28.78,28.78,28.78,26.16,5400,0.027
23,002053,10.014,39.11,36.02,39.11,36.0,35.55,6278166,3.37806
24,600629,10.013,42.63,38.8,42.63,38.23,38.75,9062774,2.60425
25,601518,10.013,8.35,7.61,8.35,7.51,7.59,114707756,9.45497
26,000923,10.013,34.83,31.65,34.83,30.89,31.66,10076755,5.08929
27,002427,10.013,33.07,30.19,33.07,30.01,30.06,18471903,5.53949
28,002493,10.013,33.18,30.68,33.18,30.68,30.16,16450810,1.61429
29,002120,10.012,38.24,35.56,38.24,35.52,34.76,12646770,12.94366
30,600621,10.011,20.66,18.78,20.66,18.62,18.78,39221097,7.48377
31,600859,10.011,38.35,35.4,38.35,34.63,34.86,23672892,5.1155
32,000506,10.011,10.11,10.11,10.11,10.11,9.19,507760,0.054700000000000006
33,600115,10.01,10.99,10.01,10.99,10.01,9.99,242011955,3.10981
34,600310,10.01,44.95,40.88,44.95,39.91,40.86,6545599,2.37224
35,603311,10.01,32.42,32.42,32.42,32.42,29.47,107900,0.20552
36,603885,10.01,34.51,34.51,34.51,34.51,31.37,24600,0.036180000000000004
37,300074,10.01,23.08,23.08,23.08,22.61,20.98,13539868,3.94937
38,300461,10.01,43.3,43.3,43.3,43.3,39.36,21050,0.1262
39,600890,10.009,12.86,12.3,12.86,11.8,11.69,63987576,11.04768
