2015-07-21 18:43:51,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
0,600035,10.084,6.55,5.9,6.55,5.8,5.95,50999334,3.50902
1,600231,10.069,6.34,5.63,6.34,5.55,5.76,37878744,4.71127
2,600963,10.068,8.09,7.19,8.09,7.07,7.35,77552629,9.19786
3,000735,10.066,8.31,7.63,8.31,7.5,7.55,65643500,7.4587900000000005
4,600033,10.062,5.36,4.83,5.36,4.71,4.87,123518805,4.50076
5,000005,10.061,7.22,7.22,7.22,7.22,6.56,9461617,1.03548
6,600227,10.055,7.99,7.25,7.99,7.0,7.26,87150964,9.17
7,002392,10.055,7.99,7.55,7.99,7.28,7.26,101023982,17.99992
8,600350,10.052,8.54,7.69,8.54,7.55,7.76,59546912,1.2376800000000001
9,002172,10.05,11.06,10.94,11.06,10.7,10.05,29732901,5.5311900000000005
10,002548,10.05,10.95,10.95,10.95,10.95,9.95,53001,0.01709
11,600269,10.049,6.68,5.95,6.68,5.88,6.07,105604296,4.52188
12,600152,10.044,9.97,8.81,9.97,8.6,9.06,32697082,11.14062
13,000916,10.044,7.45,6.75,7.45,6.5,6.77,34219966,3.13952
14,002314,10.043,10.3,9.89,10.3,9.59,9.36,35621955,6.1434
15,002567,10.042,13.04,12.48,13.04,12.3,11.85,14164651,3.37466
16,600029,10.041,13.48,11.95,13.48,11.82,12.25,371320908,5.28748
17,600268,10.041,10.85,9.58,10.85,9.48,9.86,45117344,7.10234
18,600512,10.038,5.81,5.58,5.81,5.28,5.28,110915185,15.05076
19,002240,10.038,11.62,10.3,11.62,10.11,10.56,49306223,13.8183
20,002537,10.038,11.73,11.73,11.73,11.73,10.66,107945,0.035980000000000005
21,600495,10.037,11.84,10.9,11.84,10.48,10.76,120392302,10.911810000000001
22,000893,10.036,15.13,14.5,15.13,13.88,13.75,47803027,12.19105
23,002231,10.036,15.13,15.13,15.13,15.13,13.75,592700,0.29098
24,601518,10.035,6.36,5.65,6.36,5.56,5.78,60846930,5.01541
25,600328,10.034,12.83,11.47,12.83,11.18,11.66,27772140,7.73343
26,002648,10.034,13.05,13.05,13.05,13.05,11.86,442076,0.05584000000000001
27,300019,10.033,9.87,9.87,9.87,9.87,8.97,32095,0.01484
28,002578,10.032,10.42,10.3,10.42,9.51,9.47,32008566,12.07654
29,300151,10.032,17.33,15.47,17.33,15.1,15.75,29023433,10.90944
30,600370,10.03,11.08,9.85,11.08,9.61,10.07,20609241,6.46265
31,600630,10.03,14.48,12.88,14.48,12.6,13.16,49763410,11.71285
32,600490,10.029,11.19,10.0,11.19,9.81,10.17,178397112,12.06201
33,002321,10.028,11.85,11.45,11.85,11.1,10.77,26128371,6.17023
34,002726,10.028,15.69,14.5,15.69,14.38,14.26,14501509,13.2822
35,600664,10.027,12.29,12.29,12.29,12.29,11.17,3365532,0.17552
36,002451,10.027,12.29,12.29,12.29,12.29,11.17,2237704,1.16184
37,002492,10.027,12.29,11.5,12.29,11.3,11.17,25627604,10.88253
38,000014,10.026,21.4,20.43,21.4,19.66,19.45,23945274,11.87142
39,002173,10.026,21.07,19.49,21.07,19.0,19.15,15385581,14.24051
40,600052,10.025,8.89,7.98,8.89,7.76,8.08,63717254,7.30879
41,600572,10.025,17.67,16.09,17.67,15.55,16.06,85399063,7.1666
42,601216,10.025,13.28,12.55,13.28,12.35,12.07,104956445,2.84713
43,002587,10.025,13.28,11.9,13.28,11.5,12.07,22774687,9.58404
44,000970,10.024,18.55,16.5,18.55,16.21,16.86,90654304,8.51054
45,600105,10.023,23.6,21.8,23.6,21.45,21.45,50400044,13.22993
46,600371,10.023,19.1,17.22,19.1,16.9,17.36,21141826,9.39386
47,002005,10.023,9.66,9.66,9.66,9.66,8.78,11042350,0.9473900000000001
48,600148,10.022,24.7,24.7,24.7,23.11,22.45,12698211,8.97296
49,600986,10.022,25.36,23.25,25.36,22.55,23.05,23437644,6.99068
50,300286,10.022,25.03,25.03,25.03,24.0,22.75,13962004,16.68539
51,600200,10.021,25.69,22.55,25.69,22.33,23.35,38213784,7.3194
52,601608,10.021,15.7,13.84,15.7,13.5,14.27,120379252,4.3934
53,300205,10.021,26.35,23.95,26.35,23.35,23.95,34362968,8.08748
54,600751,10.02,10.76,10.25,10.76,9.92,9.78,37927237,9.77154
55,600829,10.02,16.58,16.0,16.58,15.28,15.07,21931521,3.78202
56,000048,10.02,21.85,20.2,21.85,19.71,19.86,11185269,2.88758
