,code,name,f_change,changepercent,trade,open,high,low,settlement,volume,turnoverratio
820,601288,农业银行,0.870827285922,-1.149,3.44,3.46,3.46,3.43,3.48,298020067,0.10135
895,601939,建设银行,0.995024875622,-1.475,6.01,6.03,6.06,6.0,6.1,85472165,0.89092
881,601398,工商银行,1.03842159917,-1.437,4.8,4.83,4.84,4.79,4.87,196837900,0.07301
887,601328,交通银行,1.31868131868,-1.449,6.8,6.8,6.87,6.78,6.9,193306155,0.59099
1039,601169,北京银行,1.34078212291,-2.093,8.89,8.98,9.01,8.89,9.08,123071672,0.97119
880,601857,中国石油,1.36054421769,-1.435,10.99,10.99,11.1,10.95,11.15,103650983,0.06401
909,601988,中国银行,1.36363636364,-1.573,4.38,4.42,4.43,4.37,4.45,387626397,0.18391
974,601166,兴业银行,1.39593908629,-1.88,15.66,15.76,15.87,15.65,15.96,140226920,0.86669
821,600000,浦发银行,1.42027114267,-1.156,15.39,15.4,15.6,15.38,15.57,79184358,0.53063
995,601818,光大银行,1.53340635268,-1.948,4.53,4.58,4.6,4.53,4.62,167329633,0.42032
808,600104,上汽集团,1.60240360541,-1.097,19.84,19.9,20.13,19.81,20.06,29079977,0.26375
845,600028,中国石化,1.64744645799,-1.307,6.04,6.03,6.12,6.02,6.12,218499962,0.22866
953,002141,蓉胜超微,1.65145588874,-1.796,22.96,23.15,23.2,22.82,23.38,3554595,1.95428
1045,000001,平安银行,1.65811290959,-2.103,12.57,12.69,12.77,12.56,12.84,68682207,0.58185
1208,002142,宁波银行,1.78571428571,-2.628,13.34,13.5,13.56,13.32,13.7,39141103,1.13444
737,002393,力生制药,1.82285580743,-0.701,42.5,42.5,43.18,42.4,42.8,2505030,1.37898
803,600016,民生银行,1.85084376701,-1.078,9.18,9.19,9.27,9.1,9.28,137011304,0.46363
925,600036,招商银行,1.94174757282,-1.648,17.9,17.9,18.2,17.85,18.2,69756265,0.33815
1040,600717,天津港,1.97879858657,-2.094,14.03,14.1,14.29,14.01,14.33,25180423,1.50352
951,600015,华夏银行,1.98735320687,-1.791,10.97,11.02,11.18,10.96,11.17,40785988,0.52389
