code,changepercent,trade,open,high,low,settlement,volume,turnoverratio
601939,-8.434,6.84,7.0,7.45,6.72,7.47,1396457766,14.55605
601601,-9.074,28.56,28.27,29.91,28.27,31.41,215451926,3.42711
601766,-9.556,16.09,16.25,17.58,16.01,17.79,978500453,4.26963
600021,-9.884,15.59,15.57,16.68,15.57,17.3,100723325,4.70727
601225,-9.92,5.63,5.65,5.89,5.63,6.25,82517374,3.04492
601898,-9.935,6.89,6.89,7.1,6.89,7.65,136320502,1.4895200000000002
600157,-9.938,4.35,4.35,4.56,4.35,4.83,165334884,3.59763
601018,-9.955,5.97,5.97,6.3,5.97,6.63,176477340,1.37873
601318,-9.962,77.46,77.51,81.3,77.43,86.03,369352353,6.82434
600383,-9.972,12.64,12.64,12.99,12.64,14.04,41591478,0.9260100000000001
601117,-9.975,7.22,7.22,7.39,7.22,8.02,106728522,2.16356
600188,-9.982,9.74,9.82,10.39,9.74,10.82,31830185,1.07535
600317,-10.0,4.86,4.86,5.13,4.86,5.4,89315288,2.71251
000750,-10.0,12.87,12.87,13.2,12.87,14.3,96917952,4.80218
002759,-10.0,35.55,35.56,35.99,35.55,39.5,1460600,6.08583
601336,-10.002,50.39,50.39,51.47,50.39,55.99,44295073,2.12402
600663,-10.005,34.18,34.18,35.26,34.18,37.98,21421821,1.57736
601009,-10.006,15.74,15.8,16.74,15.74,17.49,133818937,4.50731
601727,-10.009,10.34,10.34,10.7,10.34,11.49,161899734,1.6435300000000002
601158,-10.011,8.54,8.58,9.05,8.54,9.49,48912205,1.019
601669,-10.011,8.45,8.5,9.22,8.45,9.39,241027541,7.30386
600170,-10.013,7.01,7.05,7.35,7.01,7.79,81229584,1.7319
600741,-10.017,15.81,15.81,16.37,15.81,17.57,44227325,1.71211
600011,-10.027,10.05,10.05,10.6,10.05,11.17,134207933,1.27817
601618,-10.033,5.47,5.47,5.89,5.47,6.08,347847800,2.1420500000000002
600028,-10.04,6.72,6.72,7.35,6.72,7.47,1277159207,1.33653
600023,-10.05,7.16,7.21,7.5,7.16,7.96,194866818,7.6291
