2015-07-29 21:04:59,changepercent,trade,open,high,low,settlement,volume,turnoverratio
002180,0.0,51.7,51.95,53.97,47.12,51.7,7201984,7.04713
300289,0.0,52.0,53.3,55.45,46.8,52.0,9583283,7.8569700000000005
601211,-0.108,27.69,27.5,27.77,26.2,27.72,128707389,8.43983
000002,-0.137,14.6,14.6,14.75,14.35,14.62,164106499,1.68872
000001,-0.158,12.6,12.6,12.62,12.38,12.62,97168292,0.82318
601939,-0.163,6.14,6.13,6.15,6.08,6.15,134501443,1.40198
300095,-0.173,11.57,11.61,11.81,10.5,11.59,37243225,16.26809
002508,-0.256,39.0,39.5,39.94,37.01,39.1,5931134,1.25776
600015,-0.356,11.2,11.18,11.24,11.06,11.24,56883515,0.7306600000000001
601021,-0.389,110.12,111.02,115.0,103.6,110.55,4069158,4.06916
600016,-0.549,9.06,9.08,9.1,8.94,9.11,232715915,0.78749
002673,-0.593,26.8,26.8,27.0,25.52,26.96,40510537,1.76133
601988,-0.857,4.63,4.6,4.64,4.51,4.67,672566772,0.31911
600999,-0.885,22.4,22.36,22.68,21.81,22.6,69932282,1.45598
600030,-0.947,21.97,22.0,22.15,21.4,22.18,243514434,2.4811300000000003
601901,-1.065,9.29,9.29,9.32,8.97,9.39,144403100,2.36726
601998,-1.098,8.11,8.02,8.18,7.75,8.2,172590159,0.54095
600958,-1.143,25.09,25.11,25.27,24.26,25.38,67591165,6.75912
600837,-1.246,18.23,18.27,18.59,17.75,18.46,175160651,2.16458
000981,-1.269,28.78,29.4,30.18,26.24,29.15,30701553,3.57783
600737,-1.298,22.06,22.2,23.18,20.84,22.35,160929063,12.16705
002157,-1.38,25.72,26.59,27.0,23.47,26.08,37320162,9.66272
000031,-1.819,19.43,19.9,20.58,18.59,19.79,147983170,8.1591
600975,-1.841,18.66,19.21,19.44,17.18,19.01,36147660,15.42398
002124,-2.046,26.33,26.69,27.0,24.19,26.88,23959116,16.22625
300325,-3.6,16.6,17.02,17.7,15.5,17.22,25835319,8.19239
