code,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
000968,0.0,8.46,8.36,8.8,8.28,8.46,4.02,-2.13,19686293.0,3.8319
000761,-0.309,6.45,6.39,6.53,6.2,6.47,0.93,-4.17,46876725.0,1.71337
000779,-0.374,15.99,16.04,16.65,15.7,16.05,3.74,-2.18,11688239.0,6.26913
600171,-0.474,20.99,20.85,21.75,20.71,21.09,3.13,-1.8,35814377.0,5.31522
002659,-0.507,21.59,21.9,22.73,21.0,21.7,4.75,-3.23,19292454.0,6.20336
300025,-0.563,21.18,20.97,21.66,20.66,21.3,1.69,-3.0,14304361.0,10.29501
002095,-0.632,58.16,57.25,60.9,57.01,58.53,4.05,-2.6,15173132.0,6.03642
002144,-0.67,28.15,28.0,29.27,27.81,28.34,3.28,-1.87,9860160.0,7.51359
000713,-0.82,12.1,11.98,12.47,11.9,12.2,2.21,-2.46,15642304.0,5.23375
600653,-0.896,6.64,6.62,6.88,6.53,6.7,2.69,-2.54,77924501.0,4.46206
600397,-0.938,7.39,7.32,7.75,7.18,7.46,3.89,-3.75,52636584.0,5.31704
600792,-0.965,6.16,6.15,6.31,6.08,6.22,1.45,-2.25,17758757.0,1.86536
300421,-0.97,32.67,32.3,33.93,32.2,32.99,2.85,-2.39,3160862.0,11.28879
600126,-1.099,8.1,8.05,8.36,7.97,8.19,2.08,-2.69,21669387.0,2.5829500000000003
002731,-1.14,34.7,34.6,36.18,33.69,35.1,3.08,-4.02,4707336.0,12.49293
603869,-1.234,31.22,31.0,31.56,30.0,31.61,-0.16,-5.09,10028512.0,18.55071
600711,-1.245,9.52,9.4,9.97,9.36,9.64,3.42,-2.9,113724612.0,9.56307
600476,-1.275,27.87,27.6,29.4,27.0,28.23,4.14,-4.36,8240811.0,5.11629
600156,-1.331,13.34,13.52,14.06,13.31,13.52,3.99,-1.55,16786624.0,4.17463
600063,-1.372,7.91,7.95,8.27,7.82,8.02,3.12,-2.49,90960849.0,6.07275
600173,-1.387,7.11,7.03,7.33,6.98,7.21,1.66,-3.19,18578712.0,2.56238
600674,-1.388,12.79,12.72,13.15,12.71,12.97,1.39,-2.0,84938740.0,1.92949
600459,-1.429,18.63,18.6,19.16,18.38,18.9,1.38,-2.75,14265856.0,5.46631
000703,-1.438,11.65,11.6,12.12,11.57,11.82,2.54,-2.12,14541915.0,1.26058
601007,-1.444,19.8,19.68,20.5,19.5,20.09,2.04,-2.94,10378814.0,3.4596
600823,-1.522,12.29,12.22,12.67,12.16,12.48,1.52,-2.56,14462853.0,0.8217800000000001
000933,-1.536,6.41,6.4,6.6,6.35,6.51,1.38,-2.46,45113703.0,2.37388
600584,-1.613,20.74,20.8,21.58,20.58,21.08,2.37,-2.37,26515966.0,3.10807
600695,-1.636,9.02,9.06,9.16,8.81,9.17,-0.11,-3.93,15792720.0,4.79188
600215,-1.638,9.01,8.99,9.39,8.9,9.16,2.51,-2.84,20673778.0,4.44566
002565,-1.669,11.78,11.8,12.6,11.51,11.98,5.18,-3.92,21582811.0,3.13946
600712,-1.754,8.4,8.4,8.72,8.31,8.55,1.99,-2.81,39422652.0,7.33132
600821,-1.852,9.54,9.5,9.71,9.25,9.72,-0.1,-4.84,32889011.0,7.90092
300088,-1.862,24.24,24.45,25.16,24.1,24.7,1.86,-2.43,25479623.0,5.35039
600636,-1.875,17.27,17.18,18.09,17.1,17.6,2.78,-2.84,20518665.0,5.37207
601168,-1.925,8.15,8.2,8.36,8.07,8.31,0.6,-2.89,85545995.0,3.58984
000639,-1.972,17.9,18.01,18.43,17.71,18.26,0.93,-3.01,7427521.0,1.97202
300159,-1.989,20.2,20.48,21.17,20.03,20.61,2.72,-2.81,23053623.0,4.00215
300073,-2.069,28.4,28.64,30.18,28.25,29.0,4.07,-2.59,6599421.0,4.15078
000985,-2.075,25.01,25.07,25.8,24.5,25.54,1.02,-4.07,5222609.0,4.02856
600688,-2.098,8.4,8.3,8.84,8.29,8.58,3.03,-3.38,160499389.0,6.7295300000000005
002516,-2.108,13.93,14.09,14.48,13.8,14.23,1.76,-3.02,9628904.0,3.53686
600768,-2.123,20.29,20.42,21.16,20.23,20.73,2.07,-2.41,3865879.0,2.89044
600400,-2.129,15.17,15.28,15.79,14.83,15.5,1.87,-4.32,17909012.0,3.19576
002225,-2.147,8.66,8.72,9.06,8.63,8.85,2.37,-2.49,12041439.0,2.18167
600362,-2.148,17.31,17.28,18.0,16.89,17.69,1.75,-4.52,53613251.0,2.58346
600180,-2.155,26.33,26.5,26.85,25.9,26.91,-0.22,-3.75,6149864.0,2.32584
000565,-2.163,39.36,39.5,41.49,39.2,40.23,3.13,-2.56,18188796.0,10.48727
300320,-2.202,12.88,13.0,13.39,12.85,13.17,1.67,-2.43,10159892.0,4.30766
600327,-2.24,10.91,10.91,11.33,10.8,11.16,1.52,-3.23,22801055.0,4.37043
600133,-2.25,8.69,8.7,9.04,8.61,8.89,1.69,-3.15,34676707.0,6.4461
601158,-2.275,11.17,11.19,11.38,11.09,11.43,-0.44,-2.97,31209716.0,0.6502
002342,-2.276,7.73,7.77,7.98,7.72,7.91,0.88,-2.4,43313995.0,5.24204
000420,-2.291,7.25,7.3,7.48,7.24,7.42,0.81,-2.43,16712409.0,5.2504100000000005
300107,-2.304,7.21,7.28,7.5,7.2,7.38,1.63,-2.44,12500111.0,3.70691
000629,-2.309,4.23,4.26,4.39,4.21,4.33,1.39,-2.77,190705834.0,4.00029
300390,-2.316,32.05,32.0,33.33,31.77,32.81,1.58,-3.17,4891237.0,10.37923
600987,-2.317,13.91,14.13,14.81,13.87,14.24,4.0,-2.6,15273692.0,2.40413
600354,-2.33,9.64,9.6,10.14,9.56,9.87,2.74,-3.14,32169013.0,7.18376
002638,-2.374,16.45,16.58,17.08,16.38,16.85,1.36,-2.79,13865743.0,3.7948
600612,-2.377,50.1,50.8,53.2,49.9,51.32,3.66,-2.77,3592588.0,1.13292
002546,-2.468,22.92,23.03,23.84,22.86,23.5,1.45,-2.72,6716497.0,2.85804
600070,-2.469,11.85,11.98,12.54,11.81,12.15,3.21,-2.8,19619308.0,5.50157
600784,-2.504,11.68,11.75,12.25,11.49,11.98,2.25,-4.09,40365087.0,8.12806
000918,-2.521,5.8,5.85,5.98,5.7,5.95,0.5,-4.2,38574160.0,2.13803
600022,-2.529,4.24,4.27,4.44,4.21,4.35,2.07,-3.22,151935685.0,2.36061
600299,-2.539,18.04,18.17,19.0,18.02,18.51,2.65,-2.65,12306283.0,2.35433
300376,-2.552,42.01,42.15,43.43,41.12,43.11,0.74,-4.62,6551372.0,10.45009
600241,-2.56,13.32,13.41,13.99,13.21,13.67,2.34,-3.37,9445529.0,5.24169
300362,-2.58,41.15,41.0,43.3,40.7,42.24,2.51,-3.65,1151963.0,2.52019
300404,-2.61,88.8,89.5,91.28,87.28,91.18,0.11,-4.28,985558.0,5.91217
600255,-2.615,6.33,6.35,6.51,6.31,6.5,0.15,-2.92,66877712.0,4.27675
000949,-2.66,6.22,6.29,6.5,6.17,6.39,1.72,-3.44,34513885.0,4.16573
300461,-2.704,50.01,49.99,51.98,49.0,51.4,1.13,-4.67,2905345.0,17.41814
000920,-2.708,20.84,20.88,22.9,20.6,21.42,6.91,-3.83,25696291.0,6.08917
000758,-2.769,19.31,19.35,20.35,19.12,19.86,2.47,-3.73,32298278.0,3.58248
600339,-2.805,6.93,6.98,7.14,6.87,7.13,0.14,-3.65,24709926.0,4.27393
600808,-2.808,4.5,4.53,4.7,4.41,4.63,1.51,-4.75,87333503.0,1.4634200000000002
002416,-2.811,14.52,14.63,15.19,14.5,14.94,1.67,-2.95,16273189.0,1.68588
603788,-2.812,34.56,34.8,35.45,34.2,35.56,-0.31,-3.82,3037433.0,8.88138
000731,-2.825,10.32,10.4,10.7,10.23,10.62,0.75,-3.67,44687040.0,7.5568100000000005
600725,-2.869,6.77,6.82,7.03,6.74,6.97,0.86,-3.3,18917860.0,3.06991
300302,-2.897,38.55,38.78,41.57,38.5,39.7,4.71,-3.02,8024706.0,7.48619
002229,-2.899,20.77,20.85,21.8,20.28,21.39,1.92,-5.19,20797342.0,11.19361
000975,-2.943,16.16,16.35,16.77,15.94,16.65,0.72,-4.26,20954334.0,3.72057
000830,-2.98,8.79,8.88,9.2,8.77,9.06,1.55,-3.2,47713400.0,3.25916
600230,-2.984,12.03,12.0,12.48,11.91,12.4,0.65,-3.95,15492805.0,5.26629
600490,-2.985,9.75,9.85,10.19,9.69,10.05,1.39,-3.58,87287190.0,5.90177
000509,-2.987,6.82,6.88,7.13,6.8,7.03,1.42,-3.27,34573333.0,5.7086
000852,-2.991,25.95,26.25,26.79,25.35,26.75,0.15,-5.23,5938457.0,4.56376
002640,-3.025,77.58,78.0,84.0,76.92,80.0,5.0,-3.85,3394284.0,3.46639
002138,-3.062,13.93,14.11,14.75,13.93,14.37,2.64,-3.06,36396296.0,5.00784
