2015-09-28 15:00:00,changepercent,trade,open,high,low,settlement,h_change,l_change,volume,turnoverratio
000897,0.0,4.92,4.82,5.11,4.68,4.92,3.86,-4.88,38252225.0,2.36547
000892,-0.096,10.4,10.5,10.64,9.89,10.41,2.21,-5.0,34087195.0,11.10557
002200,-0.203,14.72,14.94,15.02,13.85,14.75,1.83,-6.1,7353398.0,6.81949
002645,-0.336,17.79,17.58,17.9,17.0,17.85,0.28,-4.76,3218894.0,2.23965
600475,-0.494,14.11,14.18,14.28,13.43,14.18,0.71,-5.29,4040562.0,1.57834
000598,-0.504,5.92,5.91,5.94,5.73,5.95,-0.17,-3.7,33932967.0,1.13632
600683,-0.52,7.65,7.65,7.72,7.4,7.69,0.39,-3.77,7288495.0,0.9839
002087,-0.54,7.37,7.35,7.54,7.11,7.41,1.75,-4.05,56126424.0,10.80148
002573,-0.543,18.3,18.51,18.6,17.59,18.4,1.09,-4.4,20733611.0,1.94699
000717,-0.683,5.82,5.81,5.89,5.5,5.86,0.51,-6.14,33031171.0,1.9784800000000002
000524,-0.776,17.9,18.01,18.13,17.26,18.04,0.5,-4.32,8939544.0,3.31497
600979,-0.787,6.3,6.28,6.43,6.18,6.35,1.26,-2.68,11909468.0,1.65895
600997,-0.814,6.09,6.2,6.2,5.72,6.14,0.98,-6.84,28020645.0,2.26954
600133,-1.046,10.41,10.58,10.69,9.8,10.52,1.62,-6.84,38196532.0,7.1004
600015,-1.066,10.21,10.23,10.27,10.13,10.32,-0.48,-1.84,10912895.0,0.14017000000000002
600008,-1.086,9.11,9.09,9.18,8.8,9.21,-0.33,-4.45,18741446.0,0.8518800000000001
600636,-1.338,13.27,13.42,13.42,12.56,13.45,-0.22,-6.62,13005037.0,3.4049
002276,-1.509,20.88,20.6,21.29,19.15,21.2,0.42,-9.67,76231748.0,9.10743
600650,-1.829,33.28,33.9,34.39,30.51,33.9,1.45,-10.0,52577315.0,13.46203
601669,-1.923,7.65,7.7,7.75,7.42,7.8,-0.64,-4.87,40945438.0,1.24077
002506,-2.343,6.67,6.8,6.8,6.19,6.83,-0.44,-9.37,124563869.0,5.64086
603025,-2.432,39.72,39.47,40.61,36.68,40.71,-0.25,-9.9,10255866.0,20.10954
002227,-2.573,31.81,31.3,32.48,29.39,32.65,-0.52,-9.98,29606810.0,13.57417
600680,-2.696,28.87,28.5,29.78,26.75,29.67,0.37,-9.84,20331477.0,7.89801
600871,-2.75,9.9,9.91,10.02,9.16,10.18,-1.57,-10.02,66335368.0,14.74119
000591,-2.769,15.8,15.8,15.97,15.1,16.25,-1.72,-7.08,9221937.0,3.35794
601579,-3.843,11.01,10.9,11.06,10.39,11.45,-3.41,-9.26,12664970.0,5.10684
002738,-3.853,28.2,28.0,28.5,26.4,29.33,-2.83,-9.99,5420662.0,18.06887
002607,-4.717,10.1,10.25,10.45,9.79,10.6,-1.42,-7.64,31560442.0,12.6596
002680,-7.424,39.53,39.88,41.88,39.25,42.7,-1.92,-8.08,4555492.0,6.86223
